Book_Title,Book_Author,Year_Of_Publication,Publisher,avg_rating,num_ratings,Image_URL_L
"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,1986.0,Del Rey,9.402597402597403,77,http://images.amazon.com/images/P/0345339738.01.LZZZZZZZ.jpg
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000.0,Scholastic,9.262773722627736,137,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001.0,Scholastic,9.20754716981132,53,http://images.amazon.com/images/P/043936213X.01.LZZZZZZZ.jpg
"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986.0,Del Rey,9.120481927710843,83,http://images.amazon.com/images/P/0345339711.01.LZZZZZZZ.jpg
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001.0,Scholastic,9.082706766917294,133,http://images.amazon.com/images/P/0439136369.01.LZZZZZZZ.jpg
Charlotte's Web (Trophy Newbery),E. B. White,1974.0,HarperTrophy,9.073529411764707,68,http://images.amazon.com/images/P/0064400557.01.LZZZZZZZ.jpg
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999.0,Scholastic,9.035460992907801,141,http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003.0,Scholastic,9.033980582524272,206,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998.0,Scholastic,8.983193277310924,119,http://images.amazon.com/images/P/0590353403.01.LZZZZZZZ.jpg
The Little Prince,Antoine de Saint-Exup̩ry,1968.0,Harcourt,8.980392156862745,51,http://images.amazon.com/images/P/0156528207.01.LZZZZZZZ.jpg
Dune (Remembering Tomorrow),Frank Herbert,1996.0,ACE Charter,8.973333333333333,75,http://images.amazon.com/images/P/0441172717.01.LZZZZZZZ.jpg
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2002.0,Scholastic Paperbacks,8.954545454545455,110,http://images.amazon.com/images/P/0439139600.01.LZZZZZZZ.jpg
To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company,8.94392523364486,214,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999.0,Arthur A. Levine Books,8.939297124600639,313,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999.0,Scholastic,8.920634920634921,126,http://images.amazon.com/images/P/0439064864.01.LZZZZZZZ.jpg
Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982.0,Bantam Classics,8.90566037735849,53,http://images.amazon.com/images/P/055321313X.01.LZZZZZZZ.jpg
A Wrinkle In Time,MADELEINE L'ENGLE,1998.0,Yearling,8.876543209876543,81,http://images.amazon.com/images/P/0440498058.01.LZZZZZZZ.jpg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986.0,Del Rey,8.83969465648855,131,http://images.amazon.com/images/P/0345339703.01.LZZZZZZZ.jpg
The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987.0,Del Rey,8.837837837837839,74,http://images.amazon.com/images/P/0345348036.01.LZZZZZZZ.jpg
Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994.0,Tor Books,8.837606837606838,117,http://images.amazon.com/images/P/0812550706.01.LZZZZZZZ.jpg
"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003.0,Perennial,8.78688524590164,61,http://images.amazon.com/images/P/0380813815.01.LZZZZZZZ.jpg
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000.0,Scholastic,8.783068783068783,189,http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg
1984,George Orwell,1990.0,Signet Book,8.772277227722773,101,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986.0,Del Rey,8.73913043478261,161,http://images.amazon.com/images/P/0345339681.01.LZZZZZZZ.jpg
To the Nines: A Stephanie Plum Novel,Janet Evanovich,2003.0,St. Martin's Press,8.701754385964913,57,http://images.amazon.com/images/P/0312265867.01.LZZZZZZZ.jpg
Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993.0,Bantam,8.7012987012987,77,http://images.amazon.com/images/P/0553296981.01.LZZZZZZZ.jpg
The Color Purple,Alice Walker,1985.0,Pocket Books,8.694915254237289,59,http://images.amazon.com/images/P/0671617028.01.LZZZZZZZ.jpg
Where the Red Fern Grows,Wilson Rawls,1984.0,Random House Children's Books,8.666666666666666,57,http://images.amazon.com/images/P/0553274295.01.LZZZZZZZ.jpg
The Giver (21st Century Reference),LOIS LOWRY,1994.0,Laure Leaf,8.663366336633663,101,http://images.amazon.com/images/P/0440219078.01.LZZZZZZZ.jpg
Holes (Yearling Newbery),LOUIS SACHAR,2000.0,Yearling,8.657894736842104,76,http://images.amazon.com/images/P/0440414806.01.LZZZZZZZ.jpg
The Mists of Avalon,MARION ZIMMER BRADLEY,1987.0,Del Rey,8.63855421686747,83,http://images.amazon.com/images/P/0345350499.01.LZZZZZZZ.jpg
East of Eden (Oprah's Book Club),John Steinbeck,2003.0,Penguin Books,8.63768115942029,69,http://images.amazon.com/images/P/0142004235.01.LZZZZZZZ.jpg
Fahrenheit 451,RAY BRADBURY,1987.0,Del Rey,8.628048780487806,164,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg
